Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
ASTR A100H,Introduction to Astronomy Honors,,,,,X,,,X,,,,,,,,X,,,,X,,
ASTR A100L,Introduction to Astronomy Laboratory,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A100M,Intro Astronomy Lab Honors,,,,,X,,,X,,,,,,,,X,,,,X,,
ASTR A101,Planetary Astronomy,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A102,Stellar Astronomy,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A103,Cosmology,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A104,Galactic Astronomy,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A110,Observational Astronomy,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A200,Introduction to Astrophysics,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A200H,Intro to Astrophysics Honors,,,,,X,,,X,,,,,,,,X,,,,X,,
ASTR A291,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A292,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A293,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A294,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A295,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ATHL A109,Sports Conditioning,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A119,Athletic Team Training,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A129,Fitness for Performance,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A222,Pep Squad,,,,,X,,,,,,,,,,,X,,,,X,,
ATHL A235,Basketball Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A236,Cross Country Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A238,Crew Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A239,Golf Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A240,Soccer Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A241,Fastpitch Team,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A242,Swimming Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A243,Tennis Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A244,Track & Field Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A245,Volleyball Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A246,Water Polo Team - Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A247,Sand Volleyball Team-Women's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A250,Baseball Team,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A251,Basketball Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A252,Crew Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A253,Cross Country Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A254,Football Team,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A255,Golf Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A257,Soccer Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A258,Swimming Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A259,Tennis Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A260,Track & Field Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A261,Volleyball Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A263,Water Polo Team - Men's,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A291,Athletics Directed Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A292,Athletics Directed Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A293,Athletics Directed Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A294,Athletics Directed Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
ATHL A294,Athletics Directed Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
BIOL A020,Making Connections in Cell and Molecular Biology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A100,Principles of Biology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A100H,Principles of Biology Honors,,,,,X,,X,X,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A101,The Biology of Cooking,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A114,Basic Microbiology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A115,Introduction to the Biology of Animals,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A120,Anatomy Discussion,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A125,Human Biology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A172,Nature of Birds,,,,,X,,X,,,,,X,1.4,,,X,,,,X,,
BIOL A180,Intro to Bio for Majors 1,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A182,Zoology,,,,,X,,X,,,,X,X,1.4,,,X,,,,X,,
BIOL A182H,Zoology Honors,,,,,X,,X,X,,,X,X,1.4,,,X,,,,X,,
BIOL A182L,Zoology Lab,,,,,X,,X,,,,,X,1.4,,,X,,,,X,,
BIOL A183,Botany,,,,,X,,X,,,,X,X,"1.2, 1.3",,,X,,,,X,,
BIOL A183L,Botany Lab,,,,,X,,X,,,,,X,"1.2, 1.3",,,X,,,,X,,
BIOL A185,Intro to Bio for Majors 2,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A200,Advanced Anatomy Practicum,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A201,Human Cadaver Prosection,,,,,X,,X,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A210,General Microbiology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A220,Human Anatomy,,,,,X,,X,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A221,Anatomy-Physiology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A225,Human Physiology,,,,,X,,X,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A280,Evolutionary Ecology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A281,Biochemistry,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A282,Molecular Biology,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A283,Genetics,,,,,X,,X,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
BIOL A291,Dir Study,,,,,X,,X,,,,X,,,,,X,,,,X,,
BIOL A292,Dir Study,,,,,X,,X,,,,X,,,,,X,,,,X,,
BIOL A293,Dir Study,,,,,X,,X,,,,X,,,,,X,,,,X,,
BIOL A294,Dir Study,,,,,X,,X,,,,X,,,,,X,,,,X,,
BIOL A295,Dir Study,,,,,X,,X,,,,X,,,,,X,,,,X,,
BRCT A105,Broadcast Journalism,,,,X,X,,,,,,,X,"9.1, 11.8",,,X,,,,X,X,
BRCT A205,Remote Broadcasting,,,,X,X,,,,,,,X,"9.1, 11.8",,,X,,,,X,X,
BRCT A291,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,X,
BRCT A292,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,X,
BRCT A293,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,X,
BRCT A294,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,X,
BRCT A295,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,X,
BUS A100,Intro to Business,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A100H,Intro to Business Honors,,,,X,X,,,X,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A101,Social Media for Business,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A110,Business Law,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A110H,Business Law Honors,,,,X,X,,,X,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A118,International Business,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A118H,International Business Honors,,,,X,X,,,X,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A120,Personl Financl Success,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A134,Excel 1,,,,X,X,,,,,,,X,7.3,,,X,,,,X,,
BUS A138,Business English,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,X
BUS A139,Business Communication,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A141,Intro to Entrepreneurship,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A148,Project Mgmt Bus/Mktg/Entr,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A171,Data Visualization,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A185,Public Relations,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A186,Not for Profit Management,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A187,Not for Profit Marketing,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A200,Business Finance,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A210,Securities Investment,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A212,Practical Investment Management,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A234,Excel 2,,,,X,X,,,,,,,X,7.3,,,X,,,,X,,
BUS A239,Professionl Communicatn,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A240,Entrepreneurship,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,X,
BUS A242,Entrepreneurship: Opportunities & Feasibility,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
BUS A291,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
BUS A292,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
BUS A293,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
BUS A294,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
BUS A295,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
CA A100,Introduction to the Hospitality Industry,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A120,Culinary Principles 1,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A122,Culinary Principles 2,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A124,Principles of Baking 1,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A126,Principles of Baking 2,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A131,Principles of Artisan Bread,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A149,Pantry,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A170,Culinary Team Competition,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A199,Current Issues in Culinary,,,,,X,,,,,,,X,4.1,,,X,,,,X,,
CA A200,Garde Manger 1,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A205,Culinary & Baking-Spec Diets,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A210,Directed Practice for Culinary Arts 1,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A215,Dir Practice Culinary Arts,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A226,Principles of Pastry Arts,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A236,Direc Prac Bakng/Pastry 1,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A237,Dir Practic Baking/Pastry 2,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A245,Culinary Principles 3,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A255,Garde Manger 2,,,,X,X,,,,,,,,,,,X,,,,X,,
CA A265,Ala Minute Cont Cooking,,,,X,X,,,,,,,X,4.1,,,X,,,,X,,
CA A270,Ice Carving,,,,,X,,,,,,,,,,,X,,,,X,,
CA A291,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
CA A292,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
CDE A102,Teaching in Elementary Setting,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A112,Intro Autism Spectrum & ABA,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A126,Teaching in a Diverse Society,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A127,"Health, Safety, and Nutrition",,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A130,Language Arts for Children,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A131,Creativity for Children,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A132,Science & Math for Young Child,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A155,Principles & Practice Teaching,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A156,EC Lab: Interaction Young Chld,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A157,Guidance for Young Children,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A165,Observing & Recording Behavior,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A174,Collaborating with Families,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A175,The Teaching Profession,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A180,"Child, Growth and Development",,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A182,Mid Childhood Dev & Guidance,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A184,Infant Dev & Relationships,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A190,"Family, School & Comm Partners",,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A199,Current Issues in E C,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A200,ECE Program - The Curriculum,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A201,EC Practicum/Field Experience,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A210,Intro to Exceptional Child,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A211,Strategies for Inclusion,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A220,Infant & Toddler Programs,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A221,Infant & Toddler Field Exper,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A261,Learning Title 22,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A262,Disaster Preparedness,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A264,Child Abuse and Trauma,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A275,EC Admin Program,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A276,Early Chldhd Management,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CDE A277,Adult Supervision in EC,,,,,X,,,,,,,X,12.2,,,X,,,,X,,
CDE A291,Directed Study,,,,,X,,,,,,,X,"12.1, 12.2",,,X,,,,X,,
CFT A100,Intro to Composite Fabrication,,,,,X,,,,,,,X,5.6,,,X,,,,X,,
CFT A114,Contemporary Cabinetmaking,,,,,X,,,,,,,X,5.6,,,X,,,,X,,
CFT A120,Composite Structure: Prototype,,,,,X,,,,,,,X,5.6,,,X,,,,X,,
CHEM A020,Problem Solving in Organic Chemistry 1,,,,,X,,,,,,,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A025,Problem Solving in Organic Chemistry 2,,,,,X,,,,,,,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A100,Principles of Chemistry,,,,,X,,,,,,,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A110,Introduction to Chemistry,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A130,Preparation for Gen Chemistry,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A180,General Chemistry A,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A185,General Chemistry B,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A220,Organic Chemistry A,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A220L,Organic Chemistry A Lab,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A225,Organic Chemistry B,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A225L,Organic Chemistry Lab B,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A291,Dir Study,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A292,Dir Study,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A293,Dir Study,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A294,Dir Study,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHEM A295,Dir Study,,,,,X,,,,,,X,X,"1.4, 6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CHIN A180,Elementary Chinese 1,,,,,X,X,,,,,,,,X,,X,,,,X,,
CHIN A185,Elementary Chinese 2,,,,,X,X,,,,,,,,X,,X,,,,X,,
CHT A100,Comp Use in Technology,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A110,PC A+ Certificate Prep,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A162,Fundmntls Information Security,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A176,Databse Dsgn/Data Warehousing,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A177,Bus Intel/Data Mining Big Data,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A191,Network/Comm Technologies,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A263,Intro to Internet of Things,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A280,Information/Storage Management,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A281,Cloud Infrastructure/Svcs,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A282,Ethical Hacking/Network Defens,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A285,VMware View:Instal/Config/Mgmt,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A286,VMwareVspher/Instal/Config/Mgm,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A290,Small/Home Office Case Study 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A294,Dir Study,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CHT A295,Dir Study,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A090,Beginning Computer Keyboarding 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A091,Keyboarding Speed and Accuracy,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A092,Beginning Computer Keyboarding 2,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A100,Intro Computer Applications,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A100H,Intro Computer Applications Honors,,,,X,X,,,X,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A106,Introduction to Linux: LPI Certification Preparation,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A110,PC Concepts: A+ Certification Preparation,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A111,Intro Computer Info Sys,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A111H,Intro Computer Info Sys Honors,,,,X,X,,,X,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A112,Educational Applications of Technology,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A123,Web Page Design 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A128,Intro To Dreamweaver,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A129,Web Page Design 2,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A132,Business Multimedia and Graphics,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A133,PowerPoint,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A134H,Excel 1 Honors,,,,X,X,,,X,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A134,Excel 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A135,Introduction to Microsoft Access,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A137,Microsoft Outlook,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A149,Office Procedures,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A160,Introduction to UAS Automation,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A162,Fundamentals of Information Security,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A163,Windows Desktop Administration,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A171,Introduction to JavaScript,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A176,Database Design and Data Warehousing,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A177,Business Intelligence and Data Mining,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A191,Network and Communications Technologies,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A192,Network Systems Administration,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
