Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
AMT A173,Pwrplnt Gas Turbine Eng FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A174,Powerplant Ignition Sys FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A180,Airframe Instrumentatn FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A181,Arfrm Comm/Nvgation Sys FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A182,Avionics Installation Practices,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A184,Avionics Install/Trblshtg,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A188,G.R.O.L. and Avionics Rules and Regulations,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A290,Helicopter Maintenance,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A291,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A292,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A293,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A294,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A295,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
ANTH A100,Cultural Anthropology,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A100H,Cultural Anthropology,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A102,Native American,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A105,Anthropology of Nonverbal Behavior,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A150,Multicultural Behavior,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A185,Intro to Bio Anthropology,,,,,X,,,,,,X,,,,X,X,,,,X,,
ANTH A185H,Intro to Bio Anthropology Honors,,,,,X,,,X,,,X,,,,X,X,,,,X,,
ANTH A185L,Bio Anthropology Lab,,,,,X,,,,,,X,,,,X,X,,,,X,,
ANTH A187,Introduction to Primate Studies,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A190,Intro to Linguistic Anth,,,,,X,,,X,,,,,,,X,X,,,,X,,
ANTH A220,"Magic, Witchcraft, and Religio",,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A280,Introduction to Archaeology,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A285,World Ethnology,,,,,X,,,,,,,,,,X,X,,,,X,,
ANTH A291,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ANTH A292,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ANTH A293,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ANTH A294,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ANTH A295,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
APT A110,Introduction to Airport Operations,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A115,Introduction to Flight Operations,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
NE -,Private Pilot Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A121,Instrument Pilot Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A122,Commercial Pilot Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A123,Privat Pilot Advanc Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A124,Adv Commercl Pilot Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A126,Multi-Engine Aircraft Operations Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A127,Adv Instrmnt Pilot Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A128,Flight Instructor Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A129,Advanced Flight Instructor Flight Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A130,Private Pilot Grnd Sch,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A131,Introduction to Unmanned Aircraft Systems,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A132,Aviation Navigation,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A133,Aviation-Meteorology,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A134,Instrument Pilot Aviation Ground School,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A138,Aerodynamics,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A139,Commercl Pilot Grnd Sch,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A140,Flt Instructor Grnd Sch,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A141,Instrument Flight Simulator Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A144,Aviation Flight Coordinator,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A145,Airline Transport Pilot Ground,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
